,job_title,min_salary,max_salary,experience_required,skills_required,job_specializations,career_level,qualification,job_type,date_posted,city,province,region
0,Research Analyst (Iloilo Site),,,1.0,,,1-4 Years Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-23,iloilo city,iloilo,western visayas
1,Business Analyst,,,1.0,"Power BI, Google Sheet, Microsoft Excel, Tableau","Computer/Information Technology, IT-Software",1-4 Years Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-24,taguig city,metro manila,national capital region
2,Marketing Data Analyst,,,5.0,"Google Analytics, Power BI, Microsoft Excel","Sales/Marketing, Digital Marketing",Supervisor/5 Years & Up Experienced Employee,Not Specified,Full-Time,2023-06-22,makati city,metro manila,national capital region
3,Financial Data Analyst,,,4.0,"SQL, Power BI","Accounting/Finance, Banking/Financial",1-4 Years Experienced Employee,Bachelor's/College Degree,Contract,2023-06-22,taguig city,metro manila,national capital region
4,Data Analyst,20000.0,25000.0,1.0,Microsoft Excel,"Computer/Information Technology, IT-Software",Less than 1 Year Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-19,manila city,metro manila,national capital region
5,Business Data Analyst,,,2.0,"Microsoft Excel, Power BI, Tableau","Sales/Marketing, Marketing/Business Dev",1-4 Years Experienced Employee,Not Specified,Full-Time,2023-06-21,quezon city,metro manila,national capital region
6,Engineer - Data Analytics / GHG Accounting,,,2.0,"Microsoft Excel, Power BI, SAS, Tableau",,1-4 Years Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-24,pasig city,metro manila,national capital region
7,Business Data Analyst,,,2.0,,"Computer/Information Technology, IT-Network/Sys/DB Admin",1-4 Years Experienced Employee,Not Specified,Full-Time,2023-06-21,pasig city,metro manila,national capital region
8,Marketing Data Analyst,,,2.0,"Microsoft Excel, Power BI, Tableau","Sales/Marketing, Digital Marketing",1-4 Years Experienced Employee,Not Specified,Full-Time,2023-06-21,quezon city,metro manila,national capital region
9,Data Analyst (Marketing Content & Media),,,2.0,"Microsoft Excel, Power BI, Tableau","Sales/Marketing, Marketing/Business Dev",1-4 Years Experienced Employee,Not Specified,Full-Time,2023-06-20,quezon city,metro manila,national capital region
